ID,Title,Scope,Code repositories,Verified open-source licenses,Project homepages,Overview figure,Audit status
D01,Towards a Multi-legged Mobile Manipulator,direct,,,,assets/figures/D01_overview.webp,not_verified
D02,ALMA - Articulated Locomotion and Manipulation for a Torque-Controllable Robot,direct,,,,,not_verified
D03,A Unified MPC Framework for Whole-Body Dynamic Locomotion and Manipulation,direct,,,,assets/figures/D03_overview.webp,not_verified
D04,A Collision-Free MPC for Whole-Body Dynamic Locomotion and Manipulation,direct,,,,,not_verified
D05,Versatile Multi-Contact Planning and Control for Legged Loco-Manipulation,direct,,,,assets/figures/D05_overview.webp,not_verified
D06,RoLoMa: Robust Loco-Manipulation for Quadruped Robots with Arms,direct,,,,,not_verified
D07,Deep Whole-Body Control: Learning a Unified Policy for Manipulation and Locomotion,direct,,,https://maniploco.github.io,assets/figures/D07_overview.webp,project_verified
D08,Learning Legged Mobile Manipulation Using Reinforcement Learning,direct,,,,,not_verified
D09,RoboDuet: Learning a Cooperative Policy for Whole-body Legged Loco-Manipulation,direct,https://github.com/locomanip-duet/RoboDuet,MIT,https://locomanip-duet.github.io,assets/figures/D09_overview.webp,code_and_project_verified
D10,Visual Whole-Body Control for Legged Loco-Manipulation,direct,https://github.com/Ericonaldo/visual_wholebody,,https://wholebody-b1.github.io/,assets/figures/D10_overview.webp,code_and_project_verified
D11,Learning Force Control for Legged Manipulation,direct,,,https://tif-twirl-13.github.io/learning-compliance,assets/figures/D11_overview.webp,project_verified
D12,UMI on Legs: Making Manipulation Policies Mobile with Manipulation-Centric Whole-body Controllers,direct,https://github.com/real-stanford/umi-on-legs,MIT,https://umi-on-legs.github.io,assets/figures/D12_overview.webp,code_and_project_verified
D13,QuadWBG: Generalizable Quadrupedal Whole-Body Grasping,direct,,,https://quadwbg.github.io,assets/figures/D13_overview.webp,project_verified
D14,WildLMa: Long Horizon Loco-Manipulation in the Wild,direct,,,https://wildlma.github.io,assets/figures/D14_overview.webp,project_verified
D15,ASC: Adaptive Skill Coordination for Robotic Mobile Manipulation,direct,,,https://adaptiveskillcoordination.github.io,,project_verified
D16,Spot-Compose: A Framework for Open-Vocabulary Object Retrieval and Drawer Manipulation in Point Clouds,direct,https://github.com/oliver-lemke/spot-compose,MIT,https://spot-compose.github.io/,assets/figures/D16_overview.webp,code_and_project_verified
D17,Continuously Improving Mobile Manipulation with Autonomous Real-World RL,direct,,,https://continual-mobile-manip.github.io/,assets/figures/D17_overview.webp,project_verified
D18,Combining Planning and Diffusion for Mobility with Unknown Dynamics,direct,,,https://yravan.github.io/plannerorderedpolicy/,,project_verified
D19,Efficient Learning of A Unified Policy For Whole-body Manipulation and Locomotion Skills,direct,,,https://ecstayalive.github.io/posts/PhysicsFeasibilityGuidedOptimization/,assets/figures/D19_overview.webp,project_verified
D20,ODYSSEY: Open-World Quadrupeds Exploration and Manipulation for Long-Horizon Tasks,direct,,,https://kaijwang.github.io/odyssey.github.io/,assets/figures/D20_overview.webp,project_verified
D21,Learning Tactile-Aware Quadrupedal Loco-Manipulation Policies,direct,https://github.com/PokuangZhou/tactile-aware-quadrupedal-loco-manipulation/tree/main/code,,https://pokuangzhou.github.io/tactile-aware-quadrupedal-loco-manipulation/,assets/figures/D21_overview.webp,code_and_project_verified
D22,Learning Terrain-Aware Whole-Body Control for Perceptive Legged Loco-Manipulation,direct,,,,assets/figures/D22_overview.webp,not_verified
B01,Whole-Body MPC for a Dynamically Stable Mobile Manipulator,background,,,,,not_verified
B02,Proximal Policy Optimization Algorithms,background,,,,,not_verified
H1,"Humanoid Locomotion and Manipulation: Current Progress and Challenges in Control, Planning, and Learning",survey,,,,,not_verified
H2,Behavior Foundation Model: Towards Next-Generation Whole-Body Control System of Humanoid Robots,survey,,,https://github.com/friedrichyuan/awesome-bfm-papers,,project_verified
